"Survey","CountryYear","Country","CountryFR","Region","Source","age_fsex","age_fbirth","ave_bi","ideal","ppi","ttc","ppfp","s_neversex","s_sex_fbirth","s_birth1","s_birth2","s_birth3","s_birth4","s_birth5","s_birth6","s_birth7","s_birth8","s_birth9","s_infecund","CPR_all","Spacing_all","Limiting_all","CPR_mar","Spacing_mar","Limiting_mar","Notes","NotesFR","pop"
"EG2014DHS","Egypt 2014","Egypt","Egypte","Africa","2014",20.8,20.8,36.7,3,3.8,4.63538216337046,49.2734657340757,26.4945750481007,5.19578990448733,9.84271954815731,17.3046278316317,16.9864327627751,10.1697820383408,4.74190157108074,1.9048354409734,0.995223638161309,0.473194237032913,0.371590342065372,5.51932763719325,40.7745,9.6883,31.1559,58.5,13.9,44.7,,,23042769
"ET2016DHS","Ethiopia 2016","Ethiopia","Ethiopie","Africa","2016",16.6,17.1,34.5,4.5,16,7.00120511806211,22.2740623179774,23.2717823917497,8.240022483055,10.829378966279,9.24960466251028,8.75054966586707,7.46555807517377,6.77487786473544,4.95892600493807,4.61770030375213,3.25206153651883,3.25727170664196,9.3322663387788,25.3,15.3,10,35.9,21.5,14.3,,,24949201
"GA2012DHS","Gabon 2012","Gabon","Gabon","Africa","2012",16.9,22,37.6,4.6,7.9,6,13.6122812687412,8.52062613282357,19.1620427395798,17.2075600929195,13.048191435546,9.72800147769938,7.25545630832325,4.60557397168291,3.23713189436629,1.97731313857707,1.4660868543884,1.61327919811206,12.1787367559818,33.6,27.2,6.4,31.1,22.9,8.3,,,441083
"GM2019DHS","Gambia 2019","Gambia","Gambie","Africa","2019",18.5,19.4,35.3,5.8,12,8.45899396648875,15.4826857281189,28.6286731252789,6.53989384129749,10.7737306901548,9.2961287033128,8.97712496829804,6.9845805435507,6.13122175360818,4.38680937373287,3.67093524513668,2.33841094959297,2.32408738442515,9.94840342161148,13.4,9.8,3.6,18.9,13.3,5.6,,,564689
"GH2014DHS","Ghana 2014","Ghana","Ghana","Africa","2014",18.4,20.7,39.4,4.3,10.4,5.40865946953846,13.1592258540032,12.6755688846272,17.7083807245097,12.7967067225821,12.1352231606793,10.2074597659274,7.97042671702669,6.00753350009046,4.03855377648611,2.18279692874688,1.06194644299352,1.38046199162049,11.8349413847102,22.8,15,7.8,26.7,15,11.7,,,6797068
"GU2015DHS","Guatemala 2014-15","Guatemala","Guatemala","Latin America and the Caribbean","2014-15",18.6,19.5,37.7,3.3,9.9,5.08629073932502,31.0389823171227,24.6373579563415,8.15116649101967,14.7212917551613,14.3202134870602,11.7980417857324,6.98738886004605,4.47113520505037,2.85560169682158,1.93626432524966,1.20924570934016,1.59005826943113,7.32223445874602,39.4,14.9,24.5,60.6,22.8,37.8,,,4167459
"GN2018DHS","Guinea 2018","Guinea","Guinee","Africa","2018",16.6,18.5,35.7,5.4,21,6,10.0109200924756,16.1291724489317,11.2435992730107,11.142142255863,9.80847027143394,9.86177888853396,7.77669464246593,6.12064939022518,4.19292921505324,2.72283210592281,1.71366512556569,1.3381446715908,17.949921711403,11.8,9.8,1.9,10.9,8.5,2.4,,,3015710
"GY2009DHS","Guyana 2009","Guyana","Guyana","Latin America and the Caribbean","2009",18.5,20.7,35.9,2.9,4.3,6,25.3694032244425,15.6279740992413,13.9871260417982,14.1005781420262,14.9284932435101,12.9537210110012,7.04778399698595,4.48808893369942,2.15619556885578,1.37690418572421,0.79229700746457,0.819421086380515,11.7214166833125,34.6,13.8,20.8,42.5,12.3,30.2,,,195492
"HT2016DHS","Haiti 2016-17","Haiti","Haiti","Latin America and the Caribbean","2016-17",17.7,22.8,39.3,2.8,8,6,21.6934337895346,17.2517714499983,22.5070737755341,15.4048566088011,12.3654205082581,8.14653885648231,5.60938670623682,3.89268471125014,2.55449314959953,1.54148846653729,1.10313744410344,1.3529592745072,8.27018904869172,24.1,11.6,12.5,34.3,12.3,22,,,2874391
"HN2011DHS","Honduras 2011-12","Honduras","Honduras","Latin America and the Caribbean","2011-12",18.4,19.3,45.5,2.8,8.6,5.46532496359451,47.8181574150473,20.1765548407732,10.2596084838456,17.2939851001498,16.5386678769176,13.5081931703666,7.74307697865712,4.59216951700536,2.56220125528598,1.73569647197874,0.907290111129492,1.3245650123521,3.3579911815384,48.8,18.8,30,73.2,28.2,45,,,2196087
"IA2015DHS","India 2015-16","India","Inde","Asia","2015-16",19,19,32,2.2,6.6,5.6,25.0466397549996,22.0397803646748,6.8360613407487,11.8751934862951,21.5483783051114,12.7100134042026,6.12167385926516,2.86106812981469,1.36904507783891,0.615801515336498,0.266441029441556,0.183429434514615,13.5731140527559,40.8,4.1,36.7,53.5,5.5,48.1,,,336149868
"ID2017DHS","Indonesia 2017","Indonesia","Indonesie","Asia","2017",20.9,20.8,64.6,2.6,4.2,7.85667880460769,63.3355311100219,22.9341715195823,4.36810410439743,17.919940793609,24.473979009409,13.2753231502233,5.44310127101897,2.12105106173166,0.840573670230929,0.37329938682457,0.19421831079166,0.157720872470518,7.89851684971064,46,17.1,28.9,63.6,23.6,40,,,70647371
"JO2017DHS","Jordan 2017-18","Jordan","Jordanie","Asia","2017-18",22.7,22.7,34.2,3.8,3.1,5.26445113072067,54.8291260655508,40.8868840571246,5.77670182513838,6.6292405409703,8.21079006101285,9.33294209969603,9.0681270645245,5.73703480253733,3.42855045579377,1.60291946130839,0.745905642236366,0.629887921594344,7.95101606806317,28.9044,9.4302,19.4742,51.8,16.9,34.9,,,2543517
"KK1999DHS","Kazakhstan 1999","Kazakhstan","Kazakstan","Asia","1999",20.8,21.2,34.7,2.8,6.9,3.6465233935026,41.7975534280174,19.9920680167757,7.98252451524029,16.6174987715094,21.8974439280768,12.1492160204483,5.65226694311466,2.50751986135494,1.50315595849827,0.706812740281325,0.343420078611307,0.159628539471774,10.4884446266172,48,17.9,30.1,66.1,23,43,,,4099722
"KE2014DHS","Kenya 2014","Kenya","Kenya","Africa","2014",18,20.2,36.3,3.6,8.6,5.31508367012481,32.1431576978327,14.277196243987,11.5144574381957,15.8909410213276,15.9757230634059,13.035611228887,9.19841450443256,6.09336600459988,4.37682866641943,3.11618535797949,1.90417941679755,2.04858334316825,2.56851371079958,42.6,19.8,23.2,58,25.3,32.7,,,11735875
"KY2012DHS","Kyrgyz Republic 2012","Kyrgyz Republic","Kirghizistan","Asia","2012",20.5,20.6,36.1,3.9,6.1,4.62125252411317,15.7271701593467,26.2276014204286,6.07003131288634,12.6903190271362,13.903795912008,12.1939048754972,8.68668782938213,4.14114646462637,1.40252755617348,0.413747971445013,0.130709528626989,0.0567517521695562,14.0827763496201,24.4,14.5,9.9,36.3,21.6,14.7,,,1534609
